Naveen babu,97,96,95,96,90,474,94.8
Naveen Babu,97,98,56,87,34,372,74.4
Naveen,87,98,97,96,90,468,93.6
naveen babu ,34,45,56,7545,45,7725,1545.0
naveen babu,90,89,92,94,95,460,92.0
Naveen Babu,90,90,90,90,90,450,90.0
Naveen babu,90,90,90,90,90,450,90.0
Naveen Babu,90,90,90,92,90,452,90.4
Naveen Babu,90,90,91,93,94,458,91.6
navse,56,56,57,67,67,303,60.6
weirouwr,23,23,23,34,45,148,29.6
aljf,23,23,23,23,23,115,23.0
aldjfdhla,23,23,23,23,23,115,23.0
naveen,23,23,23,45,56,170,34.0
hasldhaf;,23,23,23,23,23,115,23.0
hldf,12,12,12,12,13,61,12.2
ddef,45,45,45,45,45,225,45.0
naveen Babu,98,97,96,95,94,480,96.0
Naveen Babu,98,98,97,96,97,486,97.2
Naveen Sanapala,97,96,95,96,98,482,96.4
Nav,97,98,90,96,96,477,95.4
Naveen Babu,45,46,47,48,89,275,55.0
